location_key,county,cumulative_confirmed,cumulative_deceased
IN,18095,36866.0,653.0
IN,18097,252930.0,3000.0
IN,18099,13282.0,197.0
IN,18101,2440.0,25.0
IN,18103,10195.0,159.0
IN,18105,32475.0,281.0
IN,18107,11572.0,164.0
IN,18109,18394.0,287.0
IN,18111,2916.0,68.0
IN,18113,14615.0,157.0
IN,18115,1638.0,19.0
IN,18117,5578.0,96.0
IN,18119,6542.0,121.0
IN,18121,4032.0,52.0
IN,18123,5402.0,69.0
IN,18125,4165.0,49.0
IN,18127,44140.0,564.0
IN,18129,7354.0,58.0
IN,18131,3346.0,86.0
IN,18133,10449.0,129.0
IN,18135,6556.0,148.0
IN,18137,9313.0,138.0
IN,18139,5504.0,59.0
IN,18141,79391.0,874.0
IN,18143,8901.0,106.0
IN,18145,15532.0,182.0
IN,18147,5744.0,61.0
IN,18149,5256.0,99.0
IN,18151,10709.0,121.0
IN,18153,5956.0,76.0
IN,18155,2495.0,20.0
IN,18157,57536.0,396.0
IN,18159,3814.0,87.0
IN,18161,2183.0,21.0
IN,18163,65844.0,640.0
IN,18165,4618.0,75.0
IN,18167,32724.0,414.0
IN,18169,9601.0,157.0
IN,18171,2274.0,30.0
IN,18173,23155.0,239.0
IN,18175,6651.0,85.0
IN,18177,21716.0,337.0
IN,18179,7085.0,132.0
IN,18181,7773.0,97.0
IN,18183,10633.0,84.0
KS,20001,3989.0,53.0
KS,20003,2133.0,29.0
KS,20005,4323.0,34.0
KS,20007,1043.0,8.0
KS,20009,6508.0,96.0
KS,20011,4391.0,52.0
KS,20013,2735.0,48.0
KS,20015,19104.0,192.0
KS,20017,676.0,9.0
KS,20019,844.0,17.0
KS,20021,6158.0,85.0
KS,20023,661.0,14.0
KS,20025,504.0,8.0
KS,20027,1985.0,35.0
KS,20029,2219.0,36.0
KS,20031,2435.0,42.0
KS,20033,441.0,16.0
KS,20035,10194.0,152.0
KS,20037,11966.0,130.0
KS,20039,620.0,20.0
KS,20041,4815.0,78.0
KS,20043,2456.0,34.0
KS,20045,27394.0,139.0
KS,20047,562.0,13.0
KS,20049,571.0,10.0
KS,20051,7165.0,84.0
KS,20053,2017.0,32.0
KS,20055,11545.0,115.0
KS,20057,10629.0,113.0
KS,20059,7018.0,81.0
KS,20061,9262.0,75.0
KS,20063,790.0,23.0
KS,20065,572.0,15.0
